章	类型	起段	止段	字数	触发	标题建议	章内H2	预览
073	策论	12	16	409	对曰	请田自坚伐楚成功	请田自坚伐楚成功	果荆。荆闻益军而来，乃悉国中兵以。至，坚壁而守之，不肯。荆兵数出挑，终不出。日休
075	书信	13	16	666	H2:冯驩弹铗焚券书	冯驩弹铗焚券书	冯驩弹铗焚券书	初，闻好，蹑蹻而见之。曰；"先生远辱，何以教也？"冯驩曰："闻好，以贫身归於。"
076	策论	11	17	1613	对曰	长平割地虞卿谏	长平割地虞卿谏	於，不胜，亡一。王召与曰："军不胜，尉复，使束甲而趋之，何如？"曰："无益也，不
076	策论	2	8	1326	对曰	平原君养士三千	平原君养士三千	家楼临家。家有躄者，槃散行汲。居楼上，临见，大笑之。，躄者至门，请曰："闻之喜，
078	策论	19	25	779	对曰	献女求嗣养死士	献女求嗣养死士	无，患之，求宜者进之，甚众，卒无。人持其，欲进之王，闻其不宜，恐久毋宠。求事为，
079	策论	15	21	1721	对曰	离宫跪请陈大计	离宫跪请陈大计	然左右多窃听者，恐，未敢言内，先言外事，以观王之俯仰。因进曰："越、而纲寿，非计
079	书信	24	30	1476	乃遗〖=赵〗王书曰	逼赵追杀魏齐案	逼赵追杀魏齐案	闻在所，欲为必报其仇，乃详为好书遗曰；"闻之高义，原与为之友，幸过，原与为之饮。
079	奏疏	7	13	1253	乃上书曰	远交近攻说昭王	远交近攻说昭王	，，之也；而、皆同也。相，者更将，有封邑，以太后故，私家富重於王室。及为将，且欲
080	策论	19	21	167	对曰	乐氏后世传师道	乐氏后世传师道	其後，过，问："有後世乎？"对曰："有。"封之，号曰。，之也。而之有、，且为所，
080	策论	3	9	937	对曰	合纵伐齐破济西	合纵伐齐破济西	当是时，彊，南相於，西於，遂与，助，，广地。与争重为帝，已而复归之。皆欲背而服於
081	书信	3.2	3.8	252	遗〖@赵王〗书，	蔺相如	蔺相如	闻之，使人遗书，原以请易。与诸谋：欲予，城恐不可得，徒见欺；欲勿予，即患兵之来。
084	议论	10.3	11.2	130	H2:贾生改制建议	贾生改制建议	贾生改制建议	以为兴至，和洽，而固当改，易色，，定官名，兴，乃悉草具其事，色尚黄，数用五，为官
087	奏疏	14.3	15.1	159	上书言	李斯上书言赵高	李斯上书言赵高	闻之，疑其，无不危国；妾疑其，无不危家。今有於擅利擅害，与无异，此甚不便。昔者相
087	奏疏	16.3	16.3	217	上书曰	李斯下狱	李斯下狱	为治，矣。逮地之陕隘。之时地不过，。尽薄材，谨奉，阴行谋，资之，使游说，阴脩，饰
087	奏疏	4.1	5.1	770	乃上书曰	谏逐客书	谏逐客书	会人来间，以作注溉渠，已而觉。皆言王曰：“人来事者，大抵为其主游间於耳，请一切逐
087	奏疏	6.2	6.2	170	乃上书曰	焚书坑儒	焚书坑儒	古者散乱，莫能相一，是以并作，语皆道古以害今，饰虚言以乱实，人善其所私学，以非上
088	策论	8	9.5	624	对曰	蒙毅辩解	蒙毅辩解	对曰："以不能得先主之意，则少宦，顺幸没世。可谓知意矣。以不知之能，则独从，周旋
089	策论	4	4	138	对曰	从陈涉起兵	从陈涉起兵	为无道，人国家，人，绝人後世，罢之力，尽之财。将军瞋目张胆，出万死不顾一生之计，
091	策论	14	15	340	H2:薛公论三策	薛公论三策	薛公论三策	召诸将问曰：“，为之柰何？”皆曰；“之，耳。何能为乎！”召故问之。曰：“是故当。
092	策论	13	19	1998	对曰	广武君献策	广武君献策	於是问曰："仆欲北，东，何若而有功？"辞谢曰："闻军之将，不可以言勇，亡国之，不
092	策论	27	29	368	对曰	谋反被诛	谋反被诛	已从军来，至，见，且喜且怜之，问："亦何言？"曰："言恨不用计。"曰："是也。"
096	奏疏	14	20	779	上书言	张苍为相	张苍为相	为，人上书言时，其符有当见。诏，以为非是，罢之。其後见，於是召以为，草之历，更。
102	策论	13	13	312	对曰	冯唐生平与事迹	冯唐生平与事迹	闻上古王者之遣将也，跪而推毂，曰阃以内者，寡人制之；阃以外者，将军制之。皆决於外
103	诏令	11	17	779	制诏〖;御史〗：“〖@万	石庆事迹	石庆事迹	秋，有罪，罢。制诏：“先帝尊之，子孙孝，其以为，封为。”是时方南，东，北，西，多
105	策论	41	41	155	对曰	问答医理	问答医理	病名多相类，不可知，故古为之脉法，以起度量，立，县权衡，案绳墨，调，别人之脉各名
106	诏令	16	16	211	制诏将军曰	七国败亡	七国败亡	盖闻为善者，天报之以福；为非者，天报之以殃。亲表功德，建立，、绝无後，哀怜加惠，
106	书信	9	9	447	遗〖#诸侯〗书曰	七国之乱	七国之乱	敬问、、、、、、、、、故：幸教！以有贼，无功，侵夺地，使吏劾系讯治，以僇辱之为故
108	奏疏	12	15	326	上书言	韩安国晚年	韩安国晚年	，出，胡。将军为所得，复失之；大亡卒：皆，庶人。，大入边，，及入，所人。之，出。
110	书信	39	39	225	遗〖◆汉〗书曰	冒顿单于的外交书信	冒顿单于的外交书信	所立大敬问无恙。前时言事，称书意，合欢。边吏侵侮，不请，听後氏等计，与吏相距，绝
110	书信	40	41	210	遗〖~匈奴〗书曰	文帝的回信	文帝的回信	敬问大无恙。使遗朕书曰：‘不请，听後氏等计，绝二主之约，离之亲，以故不和，邻国不
110	书信	51	52	368	遗〖~匈奴〗书曰	文帝后二年的书信	文帝后二年的书信	敬问大无恙。使、遗朕，已至，敬受。制：以北，引之国，受命；以内，之室，朕亦制之。
110	诏令	53	59	412	制诏〖;御史〗曰：“〖~	文帝后二年的书信	文帝后二年的书信	既约，於是制诏曰：“大遗朕书，言已定，亡人不足以益众广地，无入塞，无出塞，犯约者
112	奏疏	102	108	280	上书言	主父偃被诛	主父偃被诛	始为布衣时，尝游、，及其贵，发事。恐其为国患，欲上书言其阴事，为居中，不敢发。及
112	奏疏	28	31	206	乃上书曰	公孙弘临终上书	公孙弘临终上书	闻之通道五，所以行之者三。曰，，，，长幼之序，此五者之通道也。智，仁，勇，此三者
112	书信	40	55	688	H2:谏伐匈奴书	谏伐匈奴书	谏伐匈奴书	闻明主不恶切谏以博观，不敢避重以直谏，是故事无遗策而功流。今不敢隐忠避死以效愚计
112	奏疏	56	62	303	上书言	徐乐严安并上书	徐乐严安并上书	是时人、人俱上书言世务，各一事。###徐乐论土崩瓦解曰：闻之患在於土崩，不在於瓦
112	奏疏	70	76	306	上书曰	严安论秦之失	严安论秦之失	上书曰：闻有，其治三百馀岁，其隆也，错而不用。及其衰也，亦三百馀岁，故更起。者，
114	策论	3	9	755	对曰	闽越围东瓯	闽越围东瓯	亡走，怨其，常劝。至，发兵。食尽，困，且降，乃使人告急。问，对曰："人相，固其常
117	书信	13	16	1419	H2:遗书论封禅	遗书论封禅	遗书论封禅	既病免，家居。曰：“病甚，可往从悉其书；若不然，後失之矣。”使往，而已死，家无书
117	檄文	3	4.4	597	H2:喻巴蜀檄文	喻巴蜀檄文	喻巴蜀檄文	为，会使略通西中，发吏卒，郡又多为发转漕，用兴法其渠帅，大惊恐。上闻之，乃使责，
117	奏疏	7	11.1	526	H2:上书谏猎	上书谏猎	上书谏猎	口吃而善著书。常有消渴疾。与氏婚，饶於财。其进仕宦，未尝肯与国家之事，称病间居，
118	书信	26	30	898	与奴奸，王彊食，请上书。	衡山王家乱	衡山王家乱	王后死，立为王后。姬俱幸。相妒，姬乃恶王后於曰：“使婢蛊道〗。”心怨。至，与饮，
121	书信	14	17	335	H2:伏生传尚书	伏生传尚书	伏生传尚书	者，人也。故为。时，欲求能治者，无有，乃闻能治，欲召之。是时年九十馀，老，不能行
121	诏令	6	12	1086	制曰	武帝崇儒与学官制度	武帝崇儒与学官制度	为，悼道之郁滞，乃请曰：“言：制曰‘盖闻导以，风之以。婚姻者，居屋之大伦也。今废
122	檄文	37	43	1049	为檄告	盗贼蜂起法网难禁	盗贼蜂起法网难禁	自等以恶为治，而、、欲为治者，其治大抵尽放，而吏益轻犯法，盗贼滋起。有、，有、，
123	奏疏	24	30	1118	上书言	汉通西域诸国	汉通西域诸国	自开外国道以尊贵，其後从吏卒皆争上书言外国奇怪利害，求使。为其绝远，非人所乐往，
123	奏疏	31	37	1193	上书言	贰师将军伐宛	贰师将军伐宛	军既西过，当道小国恐，各坚城守，不肯给食。之不能下。下者得食，不下者数日则去。比
126	策论	21	23	406	H2:东郭先生献策	东郭先生献策	东郭先生献策	时，者，也，封为。从军，至上而还，捕虏，有功来归，诏赐。将军出宫门，人以，当道遮
126	策论	7	13	1044	对曰	优孟衣冠	优孟衣冠	，故之乐人也。长，多辩，常以谈笑讽谏。之时，有所爱，以，置之华屋之下，席以，啗以
128	议论	10	11	163	H2:杀龟之辩	杀龟之辩	杀龟之辩	用支足，行，死，移，尚生不死。能行气导引。问者曰：“至神若此，然得生，何为辄其甲
128	策论	16	22	2359	对曰	宋元王得龟	宋元王得龟	对曰：“者是之宝也，先得此者为，且言当，胜。生於深渊，长於黄土。知天之道，明於上
130	议论	11	12	123	H2:论墨家	论墨家	论墨家	亦尚道，言其曰：“堂高，三等，不翦，采椽不刮。食，啜，粝粱之食，藜霍之羹。日，日
130	议论	14	17	274	H2:论道家	论道家	论道家	，又曰无不为，其实易行，其辞难知。其术以虚本，以因循为用。无成埶，无常形，故能究
130	议论	28	31	220	H2:论春秋与六经	论春秋与六经	论春秋与六经	，上明之道，下辨人事之纪，别嫌疑，明，定犹豫，善恶，贤贤贱不肖，存亡国，继绝世，
130	书信	36	38	151	H2:李陵之祸与发愤著书	李陵之祸与发愤著书	李陵之祸与发愤著书	於是论次其文。而遭之祸，幽於縲绁。乃喟然而叹曰：“是余之罪也！是余之罪也！身毁不
