章节	全名	省称	位置	句法框架类型	匹配模式	上下文
001_五帝本纪	虞舜	舜	3690	宾语位	杀舜	叟@爱後妻子，常欲杀舜，舜避逃；及有小过，
001_五帝本纪	虞舜	舜	3802	宾语位	杀舜	，弟@象@傲，皆欲杀舜。舜顺適不失子道，兄
001_五帝本纪	伯禹	禹	6313	主语位	禹亦	而崩。%三年%丧毕，禹亦乃让@舜@子，如@
