词典条目: 7343
源表已收: 350（跳过 146）
新候选（4字+）: 194
新候选（3字）: 0

============================================================
=== 4字及以上新候选（194 条）===
============================================================
[129] 变名易姓  | ctx: ...用之家。” 乃乘扁舟浮於江湖，变名易姓，適齐为鸱夷子皮，之陶为硃公。...
[070] 各为其主  | ctx: ...“於是郑袖日夜言怀王曰：“人臣各为其主用。今地未入秦，秦使张仪来，至...
[017] 各得其所  | ctx: ...本幹，弱枝叶之势，尊卑明而万事各得其所矣。  ### 结语  [4]...
[007] 各自为战  | ctx: ...；睢阳以北至穀城，以与彭越：使各自为战，则楚易败也。”  [163]...
[074] 合从连衡  | ctx: ...徒，而诸侯东面朝齐。天下方务於合从连衡，以攻伐为贤，而孟轲乃述唐、虞...
[006] 同年而语  | ctx: ...陈涉度长絜大，比权量力，则不可同年而语矣。  [133] [133....
[006] 同心并力  | ctx: ...。  [119.2] 且天下尝同心并力而攻秦矣。当此之世，贤智并列，...
[093] 名声过实  | ctx: ...；及将军守边，招致宾客而下士，名声过实。周昌疑之，疵瑕颇起，惧祸及身...
[015] 名山大川  | ctx: ...曰：“天子祭天地，诸侯祭其域内名山大川。”  [1.3] 今秦杂戎翟...
[092] 吠非其主  | ctx: ...焉。蹠之狗吠尧，尧非不仁，狗因吠非其主。当是时，臣唯独知韩信，非知陛...
[112] 善善恶恶  | ctx: ...所与共为治者，君宜知之。盖君子善善恶恶，君若谨行，常在朕躬。  [3...
[006] 囊括四海  | ctx: ...窥周室，有席卷天下，包举宇内，囊括四海之意，并吞八荒之心。  [12...
[007] 坐不安席  | ctx: ...秦彊，何敝之承！且国兵新破，王坐不安席，埽境内而专属於将军，国家安危...
[079] 多钱善贾  | ctx: ... 太史公曰：韩子称“长袖善舞，多钱善贾”，信哉是言也！范睢、蔡泽世所...
[067] 多闻阙疑  | ctx: ...56] 子张问干禄，孔子曰：“多闻阙疑，慎言其馀，则寡尤；多见阙殆，...
[106] 夜以继日  | ctx: ...之用，积金钱，脩兵革，聚穀食，夜以继日，三十馀年矣。凡为此，原诸王勉...
[091] 大喜过望  | ctx: ...舍，帐御饮食从官如汉王居，布又大喜过望。於是乃使人入九江。楚已使项伯...
[089] 天下大乱  | ctx: ...敢倳刃公之腹中者，畏秦法耳。今天下大乱，秦法不施，然则慈父孝子且倳刃...
[130] 天下归心  | ctx: ...汉既初兴，继嗣不明，迎王践祚，天下归心；蠲除肉刑，开通关梁，广恩博施...
[084] 天下第一  | ctx: ...文皇帝初立，闻河南守吴公治平为天下第一，故与李斯同邑而常学事焉，乃徵...
[027] 天人之际  | ctx: ...国者必贵三五。上下各千岁，然後天人之际续备。 ## 春秋以来天变 [...
[083] 天崩地坼  | ctx: ...崩，齐後往，周怒，赴於齐曰：‘天崩地坼，天子下席。东籓之臣因齐後至，...
[061] 天道无亲  | ctx: ... 天道之疑  [3] 或曰：“天道无亲，常与善人。” 若伯夷、叔齐，...
[038] 天高听卑  | ctx: ...民困，吾谁为君！” 子韦曰：“天高听卑。君有君人之言三，荧惑宜有动。...
[040] 好学不倦  | ctx: ...公，狐季姬之子也，有宠於献公。好学不倦。生十七年，有士五人，有先大夫...
[057] 威震天下  | ctx: ...说勃曰：“君既诛诸吕，立代王，威震天下，而君受厚赏，处尊位，以宠，久...
[087] 存亡安危  | ctx: ...侯，子孙皆至尊位重禄者，故将以存亡安危属臣也。岂可负哉！夫忠臣不避死...
[100] 季布一诺  | ctx: ...：“楚人谚曰‘得黄金百，不如得季布一诺’，足下何以得此声於梁楚间哉？...
[095] 宫车晏驾  | ctx: ...甚，人有恶哙党於吕氏，即上一日宫车晏驾，则哙欲以兵尽诛灭戚氏、赵王如...
[068] 家给人足  | ctx: ...秦民大说，道不拾遗，山无盗贼，家给人足。民勇於公战，怯於私斗，乡邑大...
