词	出现次数	实体类型
区区	8	
罢敝	8	
瓦解	8	
扰乱	8	
兵属	8	
势必	8	
母妻	8	
内诸	8	
瞋目	8	
负约	8	
馀兵	8	
欲西	8	
慷慨	8	
面目	8	
诸客	8	
乡邑	8	
地形	8	
兵袭	8	
王独	8	
争权	8	
兵临	8	
产业	8	
汤沐	8	
兵必	8	
舅父	8	
延寿	8	
冠盖	8	
盖相	8	官职$
异姓	8	
求神	8	
争事	8	
神通	8	
腹中	8	
群儒	8	
祭天	8	礼仪〈〉
边兵	8	
贼臣	8	
敖元	8	
假道	8	
阳元	8	
秦军	8	
庆元	8	
鼎元	8	
贺元	8	
侯婴	8	
侯泽	8	地名=
始元	8	
侯辟	8	
侯戎	8	族群~
应元	8	
相侯	8	官职$
侯昌	8	
侯卫	8	
事昭	8	
驰骋	8	
异国	8	
军事	8	
阴气	8	
单阏	8	
执徐	8	
彊梧	8	
徒维	8	
祝犁	8	
国可	8	
国相	8	官职$
血食	8	礼仪〈〉
溉田	8	
奴婢	8	
兵绝	8	
侯宾	8	
徒属	8	
成名	8	
爵禄	8	
空虚	8	
兵事	8	
叩头	8	
耕田	8	
父偃	8	
免冠	8	
好读	8	
臣汤	8	
骚动	8	
蒉聩	8	
硃亥	8	
原足	8	
诊脉	8	
水草	8	动植物〘〙
捕首	8	
北逐	7	
鸿水	7	地名=
水土	7	
山泽	7	地名=
论次	7	
太平	7	
乱天	7	
王家	7	
赋税	7	
林中	7	
游戏	7	
养老	7	
先驱	7	
王明	7	
群公	7	
王业	7	
节俭	7	
光明	7	
王太	7	
後可	7	
後嗣	7	
反王	7	
争利	7	
畜产	7	
骨髓	7	
垂涕	7	
哭泣	7	
毕贺	7	
欲东	7	
尊官	7	
东帝	7	
委国	7	
城坏	7	
西界	7	
尊号	7	
东游	7	
武士	7	
论功	7	
臣昧	7	
成事	7	
休息	7	
士等	7	
转输	7	
北渡	7	地名=
监门	7	
外攘	7	
事急	7	
豪俊	7	
可全	7	
闭关	7	地名=
本末	7	
前事	7	
適戍	7	
同列	7	
文书	7	
臣主	7	
婴兒	7	
豪吏	7	
军西	7	
相持	7	
北乡	7	
肥饶	7	
王相	7	官职$
必悔	7	
王可	7	
转漕	7	
太息	7	
欲急	7	
吏士	7	
坚壁	7	地名=
运筹	7	
筹策	7	
国诸	7	
就舍	7	
殿中	7	
填抚	7	
尊位	7	
罢军	7	
祝诅	7	
官属	7	
欲袭	7	
改历	7	
好儒	7	
先後	7	
常奉	7	
神祠	7	
兢兢	7	
恭王	7	
後王	7	
明天	7	
元前	7	
说元	7	
好兵	7	
午元	7	
王臣	7	
臣元	7	
臣始	7	
王章	7	
专国	7	
内乱	7	
边郡	7	
疑元	7	
禄元	7	
乐成	7	
明元	7	
买元	7	
侯功	7	
侯买	7	
侯贺	7	
侯执	7	
侯勃	7	
侯应	7	
侯中	7	
肺腑	7	
侯苏	7	
充国	7	
禄勋	7	
地节	7	
反事	7	
彊弩	7	
反状	7	
籓辅	7	
文章	7	
恭敬	7	
心感	7	
敦牂	7	
商横	7	
涒滩	7	
横艾	7	
尚章	7	
困敦	7	
变色	7	
国彊	7	
权衡	7	
震天	7	
报天	7	
困辱	7	
山海	7	地名=
诸官	7	
畜牧	7	
获罪	7	刑法【】
内空	7	
说诸	7	
内宠	7	
树党	7	
移兵	7	
接境	7	
邑中	7	
负海	7	地名=
带甲	7	
北略	7	
遗王	7	
东籓	7	
肆志	7	
公必	7	
滑稽	7	
赵赵	7	
延颈	7	
欲彊	7	
程姬	7	
老母	7	
後期	7	
道绝	7	
宰嚭	7	
肠胃	7	
名声	7	
谿谷	7	地名=
晏驾	7	
刎颈	7	
致法	7	
众医	7	
火齐	7	
寒热	7	
关市	7	
获王	7	
兵威	7	
聪明	6	
官名	6	
郁郁	6	
遍天	6	
丧毕	6	
摄政	6	
奉先	6	
荐绅	6	
率兵	6	
僇辱	6	
淫乐	6	
好女	6	
续祀	6	
文身	6	
民和	6	
阅实	6	
必致	6	
王御	6	
王後	6	
奉祀	6	
亲亲	6	
致伯	6	
後诸	6	
王病	6	
力事	6	
