章节	类型	实体	说明	上下文
117_司马相如列传	unknown_bio	青薠	标注了〖+青薠〗但不在词表内	〗〖+苞荔〗，〖+薛〗〖+莎〗〖+青薠〗。其卑湿则生〖+藏莨〗〖+蒹葭
117_司马相如列传	unknown_bio	藏莨	标注了〖+藏莨〗但不在词表内	〖+莎〗〖+青薠〗。其卑湿则生〖+藏莨〗〖+蒹葭〗，〖+东蔷〗〖+雕胡
117_司马相如列传	unknown_bio	蒹葭	标注了〖+蒹葭〗但不在词表内	+青薠〗。其卑湿则生〖+藏莨〗〖+蒹葭〗，〖+东蔷〗〖+雕胡〗，〖+莲
117_司马相如列传	unknown_bio	东蔷	标注了〖+东蔷〗但不在词表内	卑湿则生〖+藏莨〗〖+蒹葭〗，〖+东蔷〗〖+雕胡〗，〖+莲藕〗〖+菰芦
117_司马相如列传	unknown_bio	雕胡	标注了〖+雕胡〗但不在词表内	+藏莨〗〖+蒹葭〗，〖+东蔷〗〖+雕胡〗，〖+莲藕〗〖+菰芦〗，〖+菴
117_司马相如列传	unknown_bio	莲藕	标注了〖+莲藕〗但不在词表内	蒹葭〗，〖+东蔷〗〖+雕胡〗，〖+莲藕〗〖+菰芦〗，〖+菴{艹闾}〗〖
117_司马相如列传	unknown_bio	菰芦	标注了〖+菰芦〗但不在词表内	+东蔷〗〖+雕胡〗，〖+莲藕〗〖+菰芦〗，〖+菴{艹闾}〗〖+轩芋〗，
117_司马相如列传	unknown_bio	菴{艹闾}	标注了〖+菴{艹闾}〗但不在词表内	雕胡〗，〖+莲藕〗〖+菰芦〗，〖+菴{艹闾}〗〖+轩芋〗，物居之，不可胜图。
117_司马相如列传	unknown_bio	轩芋	标注了〖+轩芋〗但不在词表内	〗〖+菰芦〗，〖+菴{艹闾}〗〖+轩芋〗，物居之，不可胜图。其西则有涌
117_司马相如列传	unknown_bio	芙蓉	标注了〖+芙蓉〗但不在词表内	西则有涌泉清池，激水推移；外发〖+芙蓉〗〖+菱华〗，内隐钜石*〖*白沙
117_司马相如列传	unknown_bio	菱华	标注了〖+菱华〗但不在词表内	清池，激水推移；外发〖+芙蓉〗〖+菱华〗，内隐钜石*〖*白沙〗。其中则
117_司马相如列传	unknown_bio	神龟	标注了〖+神龟〗但不在词表内	内隐钜石*〖*白沙〗。其中则有〖+神龟〗〖+蛟〗〖+鼍〗，〖+玳瑁〗〖
117_司马相如列传	unknown_bio	蛟	标注了〖+蛟〗但不在词表内	〖*白沙〗。其中则有〖+神龟〗〖+蛟〗〖+鼍〗，〖+玳瑁〗〖+鳖〗〖
117_司马相如列传	unknown_bio	鼍	标注了〖+鼍〗但不在词表内	〗。其中则有〖+神龟〗〖+蛟〗〖+鼍〗，〖+玳瑁〗〖+鳖〗〖+鼋〗。
117_司马相如列传	unknown_bio	玳瑁	标注了〖+玳瑁〗但不在词表内	有〖+神龟〗〖+蛟〗〖+鼍〗，〖+玳瑁〗〖+鳖〗〖+鼋〗。其北则有阴林
117_司马相如列传	unknown_bio	楩	标注了〖+楩〗但不在词表内	〗〖+鼋〗。其北则有阴林巨树，〖+楩〗〖+棻〗〖+豫章〗，〖+桂〗〖
117_司马相如列传	unknown_bio	棻	标注了〖+棻〗但不在词表内	〗。其北则有阴林巨树，〖+楩〗〖+棻〗〖+豫章〗，〖+桂〗〖+椒〗〖
117_司马相如列传	unknown_bio	豫章	标注了〖+豫章〗但不在词表内	则有阴林巨树，〖+楩〗〖+棻〗〖+豫章〗，〖+桂〗〖+椒〗〖+木兰〗，
117_司马相如列传	unknown_bio	桂	标注了〖+桂〗但不在词表内	，〖+楩〗〖+棻〗〖+豫章〗，〖+桂〗〖+椒〗〖+木兰〗，〖+离硃〗
117_司马相如列传	unknown_bio	木兰	标注了〖+木兰〗但不在词表内	〗〖+豫章〗，〖+桂〗〖+椒〗〖+木兰〗，〖+离硃〗〖+杨〗，〖+楂〗
117_司马相如列传	unknown_bio	离硃	标注了〖+离硃〗但不在词表内	，〖+桂〗〖+椒〗〖+木兰〗，〖+离硃〗〖+杨〗，〖+楂〗〖+梸〗〖+
117_司马相如列传	unknown_bio	杨	标注了〖+杨〗但不在词表内	〖+椒〗〖+木兰〗，〖+离硃〗〖+杨〗，〖+楂〗〖+梸〗〖+甹栗〗，
117_司马相如列传	unknown_bio	楂	标注了〖+楂〗但不在词表内	+木兰〗，〖+离硃〗〖+杨〗，〖+楂〗〖+梸〗〖+甹栗〗，〖+橘〗〖
117_司马相如列传	unknown_bio	梸	标注了〖+梸〗但不在词表内	，〖+离硃〗〖+杨〗，〖+楂〗〖+梸〗〖+甹栗〗，〖+橘〗〖+柚〗芬
117_司马相如列传	unknown_bio	甹栗	标注了〖+甹栗〗但不在词表内	硃〗〖+杨〗，〖+楂〗〖+梸〗〖+甹栗〗，〖+橘〗〖+柚〗芬芳。其上则
117_司马相如列传	unknown_bio	赤猿	标注了〖+赤猿〗但不在词表内	〖+橘〗〖+柚〗芬芳。其上则有〖+赤猿〗〖+蠷蝚〗，〖+鹓雏〗〖+孔鸾
117_司马相如列传	unknown_bio	蠷蝚	标注了〖+蠷蝚〗但不在词表内	+柚〗芬芳。其上则有〖+赤猿〗〖+蠷蝚〗，〖+鹓雏〗〖+孔鸾〗，腾远〖
117_司马相如列传	unknown_bio	鹓雏	标注了〖+鹓雏〗但不在词表内	其上则有〖+赤猿〗〖+蠷蝚〗，〖+鹓雏〗〖+孔鸾〗，腾远〖+射干〗。其
117_司马相如列传	unknown_bio	孔鸾	标注了〖+孔鸾〗但不在词表内	+赤猿〗〖+蠷蝚〗，〖+鹓雏〗〖+孔鸾〗，腾远〖+射干〗。其下则有〖+
117_司马相如列传	unknown_bio	射干	标注了〖+射干〗但不在词表内	〗，〖+鹓雏〗〖+孔鸾〗，腾远〖+射干〗。其下则有〖+白虎〗〖+玄豹〗
117_司马相如列传	unknown_bio	白虎	标注了〖+白虎〗但不在词表内	鸾〗，腾远〖+射干〗。其下则有〖+白虎〗〖+玄豹〗，〖+蟃蜒〗〖+貙豻
117_司马相如列传	unknown_bio	玄豹	标注了〖+玄豹〗但不在词表内	〖+射干〗。其下则有〖+白虎〗〖+玄豹〗，〖+蟃蜒〗〖+貙豻〗，〖+兕
117_司马相如列传	unknown_bio	蟃蜒	标注了〖+蟃蜒〗但不在词表内	其下则有〖+白虎〗〖+玄豹〗，〖+蟃蜒〗〖+貙豻〗，〖+兕〗〖+象〗〖
117_司马相如列传	unknown_bio	貙豻	标注了〖+貙豻〗但不在词表内	+白虎〗〖+玄豹〗，〖+蟃蜒〗〖+貙豻〗，〖+兕〗〖+象〗〖+野犀〗，
117_司马相如列传	unknown_bio	兕	标注了〖+兕〗但不在词表内	玄豹〗，〖+蟃蜒〗〖+貙豻〗，〖+兕〗〖+象〗〖+野犀〗，〖+穷奇〗
117_司马相如列传	unknown_bio	野犀	标注了〖+野犀〗但不在词表内	〗〖+貙豻〗，〖+兕〗〖+象〗〖+野犀〗，〖+穷奇〗〖+獌狿〗。↵↵[
117_司马相如列传	unknown_bio	穷奇	标注了〖+穷奇〗但不在词表内	，〖+兕〗〖+象〗〖+野犀〗，〖+穷奇〗〖+獌狿〗。↵↵[2.6] "
117_司马相如列传	unknown_bio	獌狿	标注了〖+獌狿〗但不在词表内	〖+象〗〖+野犀〗，〖+穷奇〗〖+獌狿〗。↵↵[2.6] "'於是乃使
117_司马相如列传	unknown_bio	邛邛	标注了〖+邛邛〗但不在词表内	〗为御；案节未舒，即陵狡兽，辚〖+邛邛〗，槅距虚，轶〖+野马〗而湜〖+
117_司马相如列传	unknown_bio	野马	标注了〖+野马〗但不在词表内	狡兽，辚〖+邛邛〗，槅距虚，轶〖+野马〗而湜〖+騊駼〗，乘遗风而射游〖
117_司马相如列传	unknown_bio	騊駼	标注了〖+騊駼〗但不在词表内	邛〗，槅距虚，轶〖+野马〗而湜〖+騊駼〗，乘遗风而射游〖+骐〗；儵眒凄
117_司马相如列传	unknown_bio	骐	标注了〖+骐〗但不在词表内	〗而湜〖+騊駼〗，乘遗风而射游〖+骐〗；儵眒凄浰，雷动熛至，〖!星〗
117_司马相如列传	unknown_bio	蕙	标注了〖+蕙〗但不在词表内	与猗靡，吸呷萃蔡，下摩〖+兰〗〖+蕙〗，上拂〖*羽盖〗，错〖+翡翠〗
117_司马相如列传	unknown_bio	翡翠	标注了〖+翡翠〗但不在词表内	〗〖+蕙〗，上拂〖*羽盖〗，错〖+翡翠〗之威蕤，缪绕〖*玉绥〗；缥乎忽
117_司马相如列传	unknown_bio	蕙圃	标注了〖+蕙圃〗但不在词表内	[2.8] "'於是乃相与獠於〖+蕙圃〗，媻珊勃窣上〖*金隄〗，揜〖+
117_司马相如列传	unknown_bio	翡翠	标注了〖+翡翠〗但不在词表内	圃〗，媻珊勃窣上〖*金隄〗，揜〖+翡翠〗，射〖+鵕璘〗，微矰出，纤缴施
117_司马相如列传	unknown_bio	鵕璘	标注了〖+鵕璘〗但不在词表内	上〖*金隄〗，揜〖+翡翠〗，射〖+鵕璘〗，微矰出，纤缴施，弋〖+白鹄〗
117_司马相如列传	unknown_bio	白鹄	标注了〖+白鹄〗但不在词表内	〖+鵕璘〗，微矰出，纤缴施，弋〖+白鹄〗，连〖+驾鹅〗，双〖+鸧〗下，
117_司马相如列传	unknown_bio	驾鹅	标注了〖+驾鹅〗但不在词表内	矰出，纤缴施，弋〖+白鹄〗，连〖+驾鹅〗，双〖+鸧〗下，〖+玄鹤〗加。
117_司马相如列传	unknown_bio	鸧	标注了〖+鸧〗但不在词表内	弋〖+白鹄〗，连〖+驾鹅〗，双〖+鸧〗下，〖+玄鹤〗加。怠而後发，游
117_司马相如列传	unknown_bio	玄鹤	标注了〖+玄鹤〗但不在词表内	，连〖+驾鹅〗，双〖+鸧〗下，〖+玄鹤〗加。怠而後发，游於清池；浮〖*
117_司马相如列传	unknown_bio	玳瑁	标注了〖+玳瑁〗但不在词表内	张〖*翠帷〗，建〖*羽盖〗，罔〖+玳瑁〗，钓〖+紫贝〗；摐〖*金鼓〗，
117_司马相如列传	unknown_bio	紫贝	标注了〖+紫贝〗但不在词表内	建〖*羽盖〗，罔〖+玳瑁〗，钓〖+紫贝〗；摐〖*金鼓〗，吹鸣籁，榜人歌
117_司马相如列传	unknown_bio	水蟲	标注了〖+水蟲〗但不在词表内	鼓〗，吹鸣籁，榜人歌，声流喝，〖+水蟲〗骇，波鸿沸，涌泉起，奔扬会，礧
117_司马相如列传	unknown_bio	桂林	标注了〖+桂林〗但不在词表内	之阙，行乎〖=洲淤〗之浦，径乎〖+桂林〗之中，过乎〖=泱莽〗之野。汨乎
117_司马相如列传	unknown_bio	赤螭	标注了〖+赤螭〗但不在词表内	〗，衍溢陂池。於是乎〖+蛟龙〗〖+赤螭〗，〖+靧〗〖+亸〗〖+螹离〗，
117_司马相如列传	unknown_bio	靧	标注了〖+靧〗但不在词表内	。於是乎〖+蛟龙〗〖+赤螭〗，〖+靧〗〖+亸〗〖+螹离〗，〖+鰅〗〖
117_司马相如列传	unknown_bio	亸	标注了〖+亸〗但不在词表内	〖+蛟龙〗〖+赤螭〗，〖+靧〗〖+亸〗〖+螹离〗，〖+鰅〗〖+騄〗〖
117_司马相如列传	unknown_bio	螹离	标注了〖+螹离〗但不在词表内	〗〖+赤螭〗，〖+靧〗〖+亸〗〖+螹离〗，〖+鰅〗〖+騄〗〖+鰬魠〗，
117_司马相如列传	unknown_bio	鰅	标注了〖+鰅〗但不在词表内	，〖+靧〗〖+亸〗〖+螹离〗，〖+鰅〗〖+騄〗〖+鰬魠〗，〖+禺禺〗
117_司马相如列传	unknown_bio	騄	标注了〖+騄〗但不在词表内	〗〖+亸〗〖+螹离〗，〖+鰅〗〖+騄〗〖+鰬魠〗，〖+禺禺〗〖+鱋魶
117_司马相如列传	unknown_bio	鰬魠	标注了〖+鰬魠〗但不在词表内	〗〖+螹离〗，〖+鰅〗〖+騄〗〖+鰬魠〗，〖+禺禺〗〖+鱋魶〗，揵鳍擢
117_司马相如列传	unknown_bio	禺禺	标注了〖+禺禺〗但不在词表内	，〖+鰅〗〖+騄〗〖+鰬魠〗，〖+禺禺〗〖+鱋魶〗，揵鳍擢尾，振鳞奋翼
117_司马相如列传	unknown_bio	鱋魶	标注了〖+鱋魶〗但不在词表内	〖+騄〗〖+鰬魠〗，〖+禺禺〗〖+鱋魶〗，揵鳍擢尾，振鳞奋翼，潜处于深
117_司马相如列传	unknown_bio	鸿鹄	标注了〖+鸿鹄〗但不在词表内	磷烂烂，采色霅旰，丛积乎其中。〖+鸿鹄〗〖+鹔〗〖+鸨〗，〖+磻蟏〗〖
117_司马相如列传	unknown_bio	鹔	标注了〖+鹔〗但不在词表内	色霅旰，丛积乎其中。〖+鸿鹄〗〖+鹔〗〖+鸨〗，〖+磻蟏〗〖+鸀〗，
117_司马相如列传	unknown_bio	鸨	标注了〖+鸨〗但不在词表内	丛积乎其中。〖+鸿鹄〗〖+鹔〗〖+鸨〗，〖+磻蟏〗〖+鸀〗，〖+鴂〗
117_司马相如列传	unknown_bio	磻蟏	标注了〖+磻蟏〗但不在词表内	。〖+鸿鹄〗〖+鹔〗〖+鸨〗，〖+磻蟏〗〖+鸀〗，〖+鴂〗〖+目〗，〖
117_司马相如列传	unknown_bio	鸀	标注了〖+鸀〗但不在词表内	〗〖+鹔〗〖+鸨〗，〖+磻蟏〗〖+鸀〗，〖+鴂〗〖+目〗，〖+烦鹜〗
117_司马相如列传	unknown_bio	鴂	标注了〖+鴂〗但不在词表内	〖+鸨〗，〖+磻蟏〗〖+鸀〗，〖+鴂〗〖+目〗，〖+烦鹜〗〖+鷛醁〗
117_司马相如列传	unknown_bio	目	标注了〖+目〗但不在词表内	，〖+磻蟏〗〖+鸀〗，〖+鴂〗〖+目〗，〖+烦鹜〗〖+鷛醁〗，〖+澥
117_司马相如列传	unknown_bio	烦鹜	标注了〖+烦鹜〗但不在词表内	〗〖+鸀〗，〖+鴂〗〖+目〗，〖+烦鹜〗〖+鷛醁〗，〖+澥昉〗〖+鸕〗
117_司马相如列传	unknown_bio	鷛醁	标注了〖+鷛醁〗但不在词表内	，〖+鴂〗〖+目〗，〖+烦鹜〗〖+鷛醁〗，〖+澥昉〗〖+鸕〗，群浮乎其
117_司马相如列传	unknown_bio	澥昉	标注了〖+澥昉〗但不在词表内	+目〗，〖+烦鹜〗〖+鷛醁〗，〖+澥昉〗〖+鸕〗，群浮乎其上。汎淫泛滥
117_司马相如列传	unknown_bio	鸕	标注了〖+鸕〗但不在词表内	+烦鹜〗〖+鷛醁〗，〖+澥昉〗〖+鸕〗，群浮乎其上。汎淫泛滥，随风澹
117_司马相如列传	unknown_bio	菁藻	标注了〖+菁藻〗但不在词表内	澹淡，与波摇荡，掩薄草渚，唼喋〖+菁藻〗，咀嚼〖+菱藕〗。↵↵[2.1
117_司马相如列传	unknown_bio	菱藕	标注了〖+菱藕〗但不在词表内	掩薄草渚，唼喋〖+菁藻〗，咀嚼〖+菱藕〗。↵↵[2.14] "於是乎〖
117_司马相如列传	unknown_bio	绿蕙	标注了〖+绿蕙〗但不在词表内	亭皋〖%千里〗，靡不被筑。掩以〖+绿蕙〗，被以〖+江离〗，糅以〖+蘼芜
117_司马相如列传	unknown_bio	江离	标注了〖+江离〗但不在词表内	靡不被筑。掩以〖+绿蕙〗，被以〖+江离〗，糅以〖+蘼芜〗，杂以〖+流夷
117_司马相如列传	unknown_bio	蘼芜	标注了〖+蘼芜〗但不在词表内	+绿蕙〗，被以〖+江离〗，糅以〖+蘼芜〗，杂以〖+流夷〗。尃〖+结缕〗
117_司马相如列传	unknown_bio	流夷	标注了〖+流夷〗但不在词表内	+江离〗，糅以〖+蘼芜〗，杂以〖+流夷〗。尃〖+结缕〗，欑〖+戾莎〗，
117_司马相如列传	unknown_bio	结缕	标注了〖+结缕〗但不在词表内	〖+蘼芜〗，杂以〖+流夷〗。尃〖+结缕〗，欑〖+戾莎〗，揭〖+车〗〖+
117_司马相如列传	unknown_bio	戾莎	标注了〖+戾莎〗但不在词表内	以〖+流夷〗。尃〖+结缕〗，欑〖+戾莎〗，揭〖+车〗〖+衡兰〗，本〖+
117_司马相如列传	unknown_bio	车	标注了〖+车〗但不在词表内	尃〖+结缕〗，欑〖+戾莎〗，揭〖+车〗〖+衡兰〗，本〖+射干〗，〖+
117_司马相如列传	unknown_bio	衡兰	标注了〖+衡兰〗但不在词表内	缕〗，欑〖+戾莎〗，揭〖+车〗〖+衡兰〗，本〖+射干〗，〖+茈姜〗〖+
117_司马相如列传	unknown_bio	射干	标注了〖+射干〗但不在词表内	莎〗，揭〖+车〗〖+衡兰〗，本〖+射干〗，〖+茈姜〗〖+蘘荷〗，〖+葴
117_司马相如列传	unknown_bio	茈姜	标注了〖+茈姜〗但不在词表内	车〗〖+衡兰〗，本〖+射干〗，〖+茈姜〗〖+蘘荷〗，〖+葴〗〖+橙〗〖
117_司马相如列传	unknown_bio	蘘荷	标注了〖+蘘荷〗但不在词表内	兰〗，本〖+射干〗，〖+茈姜〗〖+蘘荷〗，〖+葴〗〖+橙〗〖+若荪〗，
117_司马相如列传	unknown_bio	葴	标注了〖+葴〗但不在词表内	射干〗，〖+茈姜〗〖+蘘荷〗，〖+葴〗〖+橙〗〖+若荪〗，〖+鲜枝〗
117_司马相如列传	unknown_bio	橙	标注了〖+橙〗但不在词表内	〖+茈姜〗〖+蘘荷〗，〖+葴〗〖+橙〗〖+若荪〗，〖+鲜枝〗〖+黄砾
117_司马相如列传	unknown_bio	若荪	标注了〖+若荪〗但不在词表内	〗〖+蘘荷〗，〖+葴〗〖+橙〗〖+若荪〗，〖+鲜枝〗〖+黄砾〗，〖+蒋
117_司马相如列传	unknown_bio	鲜枝	标注了〖+鲜枝〗但不在词表内	，〖+葴〗〖+橙〗〖+若荪〗，〖+鲜枝〗〖+黄砾〗，〖+蒋〗〖+芧〗〖
117_司马相如列传	unknown_bio	黄砾	标注了〖+黄砾〗但不在词表内	〖+橙〗〖+若荪〗，〖+鲜枝〗〖+黄砾〗，〖+蒋〗〖+芧〗〖+青薠〗，
117_司马相如列传	unknown_bio	蒋	标注了〖+蒋〗但不在词表内	若荪〗，〖+鲜枝〗〖+黄砾〗，〖+蒋〗〖+芧〗〖+青薠〗，布濩闳泽，
117_司马相如列传	unknown_bio	芧	标注了〖+芧〗但不在词表内	〖+鲜枝〗〖+黄砾〗，〖+蒋〗〖+芧〗〖+青薠〗，布濩闳泽，延曼〖=
117_司马相如列传	unknown_bio	青薠	标注了〖+青薠〗但不在词表内	〗〖+黄砾〗，〖+蒋〗〖+芧〗〖+青薠〗，布濩闳泽，延曼〖=太原〗，丽
117_司马相如列传	unknown_bio	偁旄	标注了〖+偁旄〗但不在词表内	〖%隆冬〗生长，踊水跃波；兽则〖+偁旄〗〖+敠犛〗，〖+沈牛〗〖+麈麋
117_司马相如列传	unknown_bio	敠犛	标注了〖+敠犛〗但不在词表内	生长，踊水跃波；兽则〖+偁旄〗〖+敠犛〗，〖+沈牛〗〖+麈麋〗，〖+赤
117_司马相如列传	unknown_bio	沈牛	标注了〖+沈牛〗但不在词表内	波；兽则〖+偁旄〗〖+敠犛〗，〖+沈牛〗〖+麈麋〗，〖+赤首〗〖+圜题
117_司马相如列传	unknown_bio	麈麋	标注了〖+麈麋〗但不在词表内	+偁旄〗〖+敠犛〗，〖+沈牛〗〖+麈麋〗，〖+赤首〗〖+圜题〗，〖+穷
117_司马相如列传	unknown_bio	赤首	标注了〖+赤首〗但不在词表内	敠犛〗，〖+沈牛〗〖+麈麋〗，〖+赤首〗〖+圜题〗，〖+穷奇〗〖+象〗
117_司马相如列传	unknown_bio	圜题	标注了〖+圜题〗但不在词表内	+沈牛〗〖+麈麋〗，〖+赤首〗〖+圜题〗，〖+穷奇〗〖+象〗〖+犀〗。
117_司马相如列传	unknown_bio	穷奇	标注了〖+穷奇〗但不在词表内	麈麋〗，〖+赤首〗〖+圜题〗，〖+穷奇〗〖+象〗〖+犀〗。其北则〖%盛
117_司马相如列传	unknown_bio	麒麟	标注了〖+麒麟〗但不在词表内	盛夏〗含冻裂地，涉冰揭河；兽则〖+麒麟〗〖+角湲〗，〖+騊駼〗〖+橐扆
117_司马相如列传	unknown_bio	角湲	标注了〖+角湲〗但不在词表内	裂地，涉冰揭河；兽则〖+麒麟〗〖+角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩
117_司马相如列传	unknown_bio	騊駼	标注了〖+騊駼〗但不在词表内	河；兽则〖+麒麟〗〖+角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱
117_司马相如列传	unknown_bio	橐扆	标注了〖+橐扆〗但不在词表内	+麒麟〗〖+角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃
117_司马相如列传	unknown_bio	蛩蛩	标注了〖+蛩蛩〗但不在词表内	角湲〗，〖+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃騠〗〖+驴〗
117_司马相如列传	unknown_bio	驒騱	标注了〖+驒騱〗但不在词表内	+騊駼〗〖+橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃騠〗〖+驴〗〖+骡〗。
117_司马相如列传	unknown_bio	駃騠	标注了〖+駃騠〗但不在词表内	橐扆〗，〖+蛩蛩〗〖+驒騱〗，〖+駃騠〗〖+驴〗〖+骡〗。↵↵[2.1
117_司马相如列传	unknown_bio	卢橘	标注了〖+卢橘〗但不在词表内	焉。↵↵[2.16] "於是乎〖+卢橘〗〖%夏〗孰，〖+黄甘〗〖+橙楱
117_司马相如列传	unknown_bio	黄甘	标注了〖+黄甘〗但不在词表内	"於是乎〖+卢橘〗〖%夏〗孰，〖+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗
117_司马相如列传	unknown_bio	橙楱	标注了〖+橙楱〗但不在词表内	+卢橘〗〖%夏〗孰，〖+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，
117_司马相如列传	unknown_bio	枇杷	标注了〖+枇杷〗但不在词表内	夏〗孰，〖+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+
117_司马相如列传	unknown_bio	橪	标注了〖+橪〗但不在词表内	+黄甘〗〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+
117_司马相如列传	unknown_bio	柿	标注了〖+柿〗但不在词表内	〖+橙楱〗，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，
117_司马相如列传	unknown_bio	楟	标注了〖+楟〗但不在词表内	，〖+枇杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗
117_司马相如列传	unknown_bio	柰	标注了〖+柰〗但不在词表内	杷〗〖+橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅
117_司马相如列传	unknown_bio	厚朴	标注了〖+厚朴〗但不在词表内	橪〗〖+柿〗，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱
117_司马相如列传	unknown_bio	甹枣	标注了〖+甹枣〗但不在词表内	，〖+楟〗〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶
117_司马相如列传	unknown_bio	杨梅	标注了〖+杨梅〗但不在词表内	〖+柰〗〖+厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐
117_司马相如列传	unknown_bio	樱桃	标注了〖+樱桃〗但不在词表内	厚朴〗，〖+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣
117_司马相如列传	unknown_bio	蒲陶	标注了〖+蒲陶〗但不在词表内	+甹枣〗〖+杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙
117_司马相如列传	unknown_bio	隐夫	标注了〖+隐夫〗但不在词表内	杨梅〗，〖+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖
117_司马相如列传	unknown_bio	郁棣	标注了〖+郁棣〗但不在词表内	+樱桃〗〖+蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，
117_司马相如列传	unknown_bio	榙	标注了〖+榙〗但不在词表内	蒲陶〗，〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，罗乎後宫，
117_司马相如列传	unknown_bio	濛	标注了〖+濛〗但不在词表内	〖+隐夫〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，罗乎後宫，列乎北园
117_司马相如列传	unknown_bio	荔枝	标注了〖+荔枝〗但不在词表内	〗〖+郁棣〗，〖+榙〗〖+濛〗〖+荔枝〗，罗乎後宫，列乎北园。崒丘陵，
117_司马相如列传	unknown_bio	沙棠	标注了〖+沙棠〗但不在词表内	荣，煌煌扈扈，照曜〖=钜野〗。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖
117_司马相如列传	unknown_bio	栎	标注了〖+栎〗但不在词表内	扈，照曜〖=钜野〗。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗
117_司马相如列传	unknown_bio	櫧	标注了〖+櫧〗但不在词表内	〖=钜野〗。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗，〖+留
117_司马相如列传	unknown_bio	华氾	标注了〖+华氾〗但不在词表内	。〖+沙棠〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀
117_司马相如列传	unknown_bio	弇栌	标注了〖+弇栌〗但不在词表内	〗〖+栎〗〖+櫧〗，〖+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀〗，〖+仁
117_司马相如列传	unknown_bio	留落	标注了〖+留落〗但不在词表内	+櫧〗，〖+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀〗，〖+仁频〗〖+并闾
117_司马相如列传	unknown_bio	胥馀	标注了〖+胥馀〗但不在词表内	+华氾〗〖+弇栌〗，〖+留落〗〖+胥馀〗，〖+仁频〗〖+并闾〗，〖+欃
117_司马相如列传	unknown_bio	仁频	标注了〖+仁频〗但不在词表内	弇栌〗，〖+留落〗〖+胥馀〗，〖+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰
117_司马相如列传	unknown_bio	并闾	标注了〖+并闾〗但不在词表内	+留落〗〖+胥馀〗，〖+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰〗，〖+豫
117_司马相如列传	unknown_bio	欃檀	标注了〖+欃檀〗但不在词表内	胥馀〗，〖+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞
117_司马相如列传	unknown_bio	木兰	标注了〖+木兰〗但不在词表内	+仁频〗〖+并闾〗，〖+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞〗，长千仞
117_司马相如列传	unknown_bio	豫章	标注了〖+豫章〗但不在词表内	并闾〗，〖+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞〗，长千仞，大连抱，夸
117_司马相如列传	unknown_bio	女贞	标注了〖+女贞〗但不在词表内	+欃檀〗〖+木兰〗，〖+豫章〗〖+女贞〗，长千仞，大连抱，夸条直暢，实
117_司马相如列传	unknown_bio	玄猿	标注了〖+玄猿〗但不在词表内	无穷。↵↵[2.17] "於是〖+玄猿〗〖+素雌〗，〖+蜼〗〖+玃〗〖
117_司马相如列传	unknown_bio	素雌	标注了〖+素雌〗但不在词表内	[2.17] "於是〖+玄猿〗〖+素雌〗，〖+蜼〗〖+玃〗〖+飞鸓〗，
