章节	类型	实体	说明	上下文
028_封禅书	unknown_bio	犀象	标注了〖+犀象〗但不在词表内	雉〗诸物，颇以加礼。〖+兕牛〗〖+犀象〗之属不用。皆至〖=泰山〗祭后土
028_封禅书	unknown_bio	茅	标注了〖+茅〗但不在词表内	明堂〗图中有一殿，四面无壁，以〖+茅〗盖，通水，圜宫垣为〖*衤复道〗
028_封禅书	unknown_bio	龟	标注了〖+龟〗但不在词表内	洲〛、〚壶梁〛，象海中〚神山〛〖+龟〗〖+鱼〗之属。其南有〖=玉堂〗
031_吴太伯世家	unknown_bio	梓	标注了〖+梓〗但不在词表内	将死，曰：↵↵> "树吾墓上以〖+梓〗，令可为器。抉吾眼置之〖=吴东
032_齐太公世家	unknown_bio	彘	标注了〖+彘〗但不在词表内	〖=姑棼〗，遂猎〖=沛丘〗。见〖+彘〗，从者曰"〖@彭生〗"。公怒，
032_齐太公世家	unknown_bio	彘	标注了〖+彘〗但不在词表内	曰"〖@彭生〗"。公怒，射之，〖+彘〗人立而啼。公惧，坠〖*车〗伤足
032_齐太公世家	cross_type	彘	同时标为 biology 和 place	
033_鲁周公世家	unknown_bio	鸲鹆	标注了〖+鸲鹆〗但不在词表内	1] 〖%二十五年〗〖%春〗,〖+鸲鹆〗来巢。〖@师己〗曰:"〖@文公
033_鲁周公世家	unknown_bio	鸲鹆	标注了〖+鸲鹆〗但不在词表内	@文公〗〖@成公〗之世童谣曰'〖+鸲鹆〗来巢,公在〖=乾侯〗。〖+鸲鹆
033_鲁周公世家	unknown_bio	鸲鹆	标注了〖+鸲鹆〗但不在词表内	+鸲鹆〗来巢,公在〖=乾侯〗。〖+鸲鹆〗入处,公在外野'。"↵↵[21
034_燕召公世家	unknown_bio	棠树	标注了〖+棠树〗但不在词表内	兆民和。〖@召公〗巡行乡邑,有〖+棠树〗,决狱政事其下,自〖#侯〗〖#
034_燕召公世家	unknown_bio	棠树	标注了〖+棠树〗但不在词表内	卒,而民人思〖@召公〗之政,怀〖+棠树〗不敢伐,哥咏之,作〖^甘棠〗之
042_郑世家	cross_type	兰	同时标为 biology 和 person	
043_赵世家	unknown_bio	苕	标注了〖+苕〗但不在词表内	诗曰："〖#美人〗荧荧兮，颜若〖+苕〗之荣。命乎命乎，曾无我嬴！"异
043_赵世家	unknown_bio	毛	标注了〖+毛〗但不在词表内	'秦〗为笑。以为不信，视地之生〖+毛〗。"↵↵[34.4] 〖%七年
044_魏世家	unknown_bio	屣	标注了〖+屣〗但不在词表内	则去之〖'楚〗、〖'越〗，若脱〖+屣〗然，柰何其同之哉！"〖;子击〗
044_魏世家	unknown_bio	山	标注了〖+山〗但不在词表内	楚〗与〖@赵〗矣。是何也？夫越〖+山〗逾〖=河〗，绝〖@韩〗〖=上党
044_魏世家	unknown_bio	山	标注了〖+山〗但不在词表内	=梁〗〖%千里〗，有〖=河〗、〖+山〗以阑之，有〖'周〗、〖@韩〗以
044_魏世家	unknown_bio	林木	标注了〖+林木〗但不在词表内	，〖=文台〗堕，〖=垂都〗焚，〖+林木〗伐，〖+麋鹿〗尽，而国继以围。
044_魏世家	unknown_bio	山	标注了〖+山〗但不在词表内	〗，有〖=郑〗地，无〖=河〗、〖+山〗而阑之，无〖'周〗、〖@韩〗而
045_韩世家	unknown_bio	狼虎	标注了〖+狼虎〗但不在词表内	区鼠〗。↵〖@韩非〗虽使，不禁〖+狼虎〗。↵:::↵
046_田敬仲完世家	unknown_bio	芑	标注了〖+芑〗但不在词表内	收。〖'齐〗人歌之曰："妪乎采〖+芑〗，归乎〖;田成子〗！"〖'齐〗
046_田敬仲完世家	unknown_bio	豨	标注了〖+豨〗但不在词表内	谨毋离前。"〖@淳于髡〗曰："〖+豨〗膏棘轴，所以为滑也，然而不能运
046_田敬仲完世家	unknown_bio	黄狗	标注了〖+黄狗〗但不在词表内	〖+狐〗〖*裘〗虽敝，不可补以〖+黄狗〗之〖*皮〗。"〖;驺忌子〗曰：
046_田敬仲完世家	unknown_bio	齿	标注了〖+齿〗但不在词表内	〖'齐〗、〖'楚〗，扞蔽也，犹〖+齿〗之有〖+脣〗也，〖+脣〗亡则〖
046_田敬仲完世家	unknown_bio	脣	标注了〖+脣〗但不在词表内	'楚〗，扞蔽也，犹〖+齿〗之有〖+脣〗也，〖+脣〗亡则〖+齿〗寒。〖
046_田敬仲完世家	unknown_bio	脣	标注了〖+脣〗但不在词表内	也，犹〖+齿〗之有〖+脣〗也，〖+脣〗亡则〖+齿〗寒。〖%今日〗亡〖
046_田敬仲完世家	unknown_bio	齿	标注了〖+齿〗但不在词表内	〗之有〖+脣〗也，〖+脣〗亡则〖+齿〗寒。〖%今日〗亡〖@赵〗，〖%
047_孔子世家	unknown_bio	石	标注了〖+石〗但不在词表内	羊〗也。〖@丘〗闻之，〖+木〗〖+石〗之怪〚夔〛、〚罔阆〛，〖*水〗
047_孔子世家	unknown_bio	兽	标注了〖+兽〗但不在词表内	〔君子〕讳伤其类也。夫〖+鸟〗〖+兽〗之於不义也尚知辟之，而况乎〖@
047_孔子世家	unknown_bio	兽	标注了〖+兽〗但不在词表内	，〖@孔子〗怃然曰："〖+鸟〗〖+兽〗不可与同群。〔天下〕有道，〖@
047_孔子世家	unknown_bio	肉	标注了〖+肉〗但不在词表内	↵↵[30.3] 〖+鱼〗馁，〖+肉〗败，割不正，不食。席不正，不坐
047_孔子世家	cross_type	肉	同时标为 biology 和 artifact	
048_陈涉世家	unknown_bio	燕雀	标注了〖+燕雀〗但不在词表内	？"〖@陈涉〗太息曰："嗟乎，〖+燕雀〗安知〖+鸿鹄〗之志哉！"↵↵#
048_陈涉世家	unknown_bio	鸿鹄	标注了〖+鸿鹄〗但不在词表内	太息曰："嗟乎，〖+燕雀〗安知〖+鸿鹄〗之志哉！"↵↵## [2] 大
048_陈涉世家	unknown_bio	山河	标注了〖+山河〗但不在词表内	，因利乘便，宰割〔天下〕，分裂〖+山河〗，彊国请服，弱国入朝。↵↵[1
048_陈涉世家	unknown_bio	竿	标注了〖+竿〗但不在词表内	攻〖'秦〗。斩〖+木〗为兵，揭〖+竿〗为旗，〔天下〕云会响应，赢〖*
048_陈涉世家	unknown_bio	鸿鹄	标注了〖+鸿鹄〗但不在词表内	号〖'张楚〗。↵〚鬼〛怪是凭，〖+鸿鹄〗自许。↵〖@葛婴〗东下，〖@周
049_外戚世家	unknown_bio	山	标注了〖+山〗但不在词表内	，至〖=宜阳〗，为其〖@主〗入〖+山〗作〖*炭〗，暮卧岸下〖%百馀人
049_外戚世家	unknown_bio	骐骥	标注了〖+骐骥〗但不在词表内	江海〗，要之去垢；〖+马〗不必〖+骐骥〗，要之善走；士不必贤世，要之知
055_留侯世家	unknown_bio	鸿鹄	标注了〖+鸿鹄〗但不在词表内	，吾为若〖=楚〗歌。”歌曰：“〖+鸿鹄〗高飞，一举〖%千里〗。羽翮已就
060_三王世家	untagged	禽兽	词表词未标注	虑，故诫之曰“荤粥氏无有孝行而禽兽心，以窃盗侵犯边民。朕诏将军往
061_伯夷列传	unknown_bio	松柏	标注了〖+松柏〗但不在词表内	求，从吾所好"。"岁寒，然後知〖+松柏〗之後凋"。举世混浊，清士乃见。
065_孙子吴起列传	unknown_bio	山河	标注了〖+山河〗但不在词表内	，顾而谓〖@吴起〗曰："美哉乎〖+山河〗之固，此〖=魏国〗之宝也！"〖
069_苏秦列传	unknown_bio	枣栗	标注了〖+枣栗〗但不在词表内	=碣石〗、〖=雁门〗之饶，北有〖+枣栗〗之利，民虽不佃作而足於〖+枣栗
069_苏秦列传	unknown_bio	枣栗	标注了〖+枣栗〗但不在词表内	+枣栗〗之利，民虽不佃作而足於〖+枣栗〗矣。此所谓天府者也。↵↵[6]
069_苏秦列传	unknown_bio	橐驼	标注了〖+橐驼〗但不在词表内	〗必充後宫，〖=燕〗、〖=代〗〖+橐驼〗良〖*马〗必实外厩。故从合则〖
084_屈原贾生列传	unknown_bio	鸾	标注了〖+鸾〗但不在词表内	,乃陨厥身。呜呼哀哉,逢时不祥〖+鸾〗〖+凤〗伏窜兮,〖+鸱〗〖+枭
084_屈原贾生列传	unknown_bio	凤	标注了〖+凤〗但不在词表内	身。呜呼哀哉,逢时不祥〖+鸾〗〖+凤〗伏窜兮,〖+鸱〗〖+枭〗翱翔。
084_屈原贾生列传	unknown_bio	鸱	标注了〖+鸱〗但不在词表内	时不祥〖+鸾〗〖+凤〗伏窜兮,〖+鸱〗〖+枭〗翱翔。阘茸尊显兮,谗谀
084_屈原贾生列传	unknown_bio	枭	标注了〖+枭〗但不在词表内	+鸾〗〖+凤〗伏窜兮,〖+鸱〗〖+枭〗翱翔。阘茸尊显兮,谗谀得志;贤
084_屈原贾生列传	unknown_bio	凤	标注了〖+凤〗但不在词表内	,国其莫我知,独堙郁兮其谁语？〖+凤〗漂漂其高遰兮,夫固自缩而远去。
084_屈原贾生列传	unknown_bio	螘	标注了〖+螘〗但不在词表内	以自珍。弥融爚以隐处兮,夫岂从〖+螘〗与〖+蛭〗〖+螾〗？所贵〔圣人
084_屈原贾生列传	unknown_bio	蛭	标注了〖+蛭〗但不在词表内	融爚以隐处兮,夫岂从〖+螘〗与〖+蛭〗〖+螾〗？所贵〔圣人〕之神德兮
084_屈原贾生列传	unknown_bio	螾	标注了〖+螾〗但不在词表内	处兮,夫岂从〖+螘〗与〖+蛭〗〖+螾〗？所贵〔圣人〕之神德兮,远浊世
084_屈原贾生列传	unknown_bio	骐骥	标注了〖+骐骥〗但不在词表内	人〕之神德兮,远浊世而自藏。使〖+骐骥〗可得系羁兮,岂云异夫〖+犬〗〖
084_屈原贾生列传	unknown_bio	鳣	标注了〖+鳣〗但不在词表内	吞舟之〖+鱼〗!横〖=江湖〗之〖+鳣〗〖+鲟〗兮,固将制於〖+蚁〗〖
084_屈原贾生列传	unknown_bio	鲟	标注了〖+鲟〗但不在词表内	+鱼〗!横〖=江湖〗之〖+鳣〗〖+鲟〗兮,固将制於〖+蚁〗〖+蝼〗。
084_屈原贾生列传	unknown_bio	蝼	标注了〖+蝼〗但不在词表内	〗〖+鲟〗兮,固将制於〖+蚁〗〖+蝼〗。↵:::↵↵## [13] 
084_屈原贾生列传	unknown_bio	鸮	标注了〖+鸮〗但不在词表内	〖;长沙王太傅〗〖%三年〗,有〖+鸮〗飞入〖@贾生〗舍,止于坐隅。〖
084_屈原贾生列传	unknown_bio	鸮	标注了〖+鸮〗但不在词表内	生〗舍,止于坐隅。〖'楚〗人命〖+鸮〗曰"服"。〖@贾生〗既以適居〖
086_刺客列传	unknown_bio	鸿毛	标注了〖+鸿毛〗但不在词表内	,此所谓'资怨而助祸'矣。夫以〖+鸿毛〗燎於〖*炉〗〖*炭〗之上,必无
086_刺客列传	unknown_bio	骐骥	标注了〖+骐骥〗但不在词表内	留意也。"〖;田光〗曰:"臣闻〖+骐骥〗盛壮之时,〖%一日〗而驰〖%千
086_刺客列传	unknown_bio	驽马	标注了〖+驽马〗但不在词表内	日〗而驰〖%千里〗;至其衰老,〖+驽马〗先之。今〖#太子〗闻〖@光〗盛
087_李斯列传	unknown_bio	禽	标注了〖+禽〗但不在词表内	秋也。处卑贱之位而计不为者,此〖+禽〗〖+鹿〗视〖+肉〗,人面而能彊
087_李斯列传	unknown_bio	肉	标注了〖+肉〗但不在词表内	计不为者,此〖+禽〗〖+鹿〗视〖+肉〗,人面而能彊行者耳。故诟莫大於
087_李斯列传	unknown_bio	纤离之马	标注了〖+纤离之马〗但不在词表内	月之珠〗,服〖*太阿之剑〗,乘〖+纤离之马〗,建〖*翠凤之旗〗,树〖*灵鼍
087_李斯列传	unknown_bio	骏良	标注了〖+骏良〗但不在词表内	为玩好,郑、卫之女不充後宫,而〖+骏良〗〖+駃騠〗不实外厩,江南金**
087_李斯列传	unknown_bio	駃騠	标注了〖+駃騠〗但不在词表内	、卫之女不充後宫,而〖+骏良〗〖+駃騠〗不实外厩,江南金**锡〖*不为
